company,estimated_revenue,matched_variant,url,error
Notion,$514.6M,Notion,https://growjo.com/company/Notion,
Datadog,$880.1M,Datadog,https://growjo.com/company/Datadog,
Louis Dreyfus Company,$5.4B,Louis Dreyfus Company,https://growjo.com/company/Louis%20Dreyfus%20Company,
H&M,$3.4M,H&M,https://growjo.com/company/H%26M,
Tokopedia,$1.7B,Tokopedia,https://growjo.com/company/Tokopedia,
Gojek,$5.7B,Gojek,https://growjo.com/company/Gojek,
Figma,$2.7B,Figma,https://growjo.com/company/Figma,
OpenAI,$3.1B,OpenAI,https://growjo.com/company/OpenAI,
Stripe,$1.8B,Stripe,https://growjo.com/company/Stripe,
Zoëtry Wellness and Spa Resorts,$8.7M,Zoëtry Wellness and Spa Resorts,https://growjo.com/company/Zo%C3%ABtry%20Wellness%20and%20Spa%20Resorts,
